Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Cycling,07-08-19 0:39,FALSE,Washington Cycling,0.63,45,05:24.2,103,122,0.3,--,--,7,21,23,52,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,06-08-19 15:09,FALSE,Cycling,0,33,05:34.0,91,119,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,05-08-19 22:59,FALSE,Washington Cycling,1.91,94,0:14:24,97,118,0.3,--,--,8,15.5,62,36,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,05-08-19 15:54,FALSE,Washington Cycling,1.87,108,0:11:13,113,152,1,--,--,10,19.3,43,69,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,04-08-19 21:04,FALSE,Washington Cycling,2.34,108,0:17:21,95,112,0.3,--,--,8.1,15,69,46,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,04-08-19 15:53,FALSE,Washington Cycling,1.43,89,0:11:57,101,117,0.4,--,--,7.2,19.1,23,56,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,04-08-19 4:00,FALSE,Washington Cycling,0.88,100,0:14:35,98,118,0.3,--,--,3.6,20.2,39,49,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,03-08-19 19:01,FALSE,Washington Cycling,0.77,79,07:29.7,116,139,0.8,--,--,6.1,14.9,52,23,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,02-08-19 15:54,FALSE,Washington Cycling,1.57,71,0:10:40,96,116,0.3,--,--,8.8,19.3,33,49,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,01-08-19 23:38,FALSE,Washington Cycling,0.74,18,03:42.7,85,97,0,--,--,12,21.3,26,46,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,01-08-19 15:03,FALSE,Washington Cycling,1.02,46,06:21.8,98,126,0.3,--,--,9.6,17.9,46,36,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,01-08-19 0:36,FALSE,Washington Cycling,1.1,89,0:15:28,92,105,0.2,--,--,4.3,20.3,33,49,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,31-07-19 15:08,FALSE,Washington Cycling,1.03,49,06:04.6,103,120,0.3,--,--,10.1,22.4,52,20,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,31-07-19 1:45,FALSE,Washington Cycling,0.93,38,05:27.6,97,113,0.2,--,--,10.2,20.4,30,52,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,30-07-19 15:00,FALSE,Washington Cycling,1.02,35,06:53.0,86,101,0.1,--,--,8.9,22.6,62,26,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,29-07-19 22:36,FALSE,Washington Cycling,2.11,88,0:14:54,92,111,0.3,--,--,8.5,16.3,62,39,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,29-07-19 15:51,FALSE,Washington Cycling,1.47,68,0:10:36,94,114,0.3,--,--,8.3,16.5,33,59,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,28-07-19 22:03,FALSE,Washington Cycling,1.98,88,0:17:11,87,109,0.2,--,--,6.9,15.4,62,39,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,28-07-19 15:52,FALSE,Washington Cycling,2.05,94,0:10:50,108,137,0.7,--,--,11.3,19.2,46,66,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,28-07-19 4:21,FALSE,Washington Cycling,0.63,49,04:45.0,113,133,0.5,--,--,7.9,25.3,23,52,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,27-07-19 15:11,FALSE,Washington Cycling,0.42,23,03:24.3,97,114,0.1,--,--,7.3,13.4,20,3,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Running,27-07-19 11:44,FALSE,Washington Running,2.26,317,0:23:21,135,148,2.6,155,163,10:21,8:56,167,102,1,0,0,0,0,0,0:00,87.8,0:00,No,02:51.3,3,0
Cycling,26-07-19 21:29,FALSE,Washington Cycling,2.29,79,0:17:35,83,107,0.2,--,--,7.8,15.9,52,43,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,26-07-19 15:53,FALSE,Washington Cycling,1.68,112,0:11:00,117,168,1.4,--,--,9.2,20.9,56,62,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,25-07-19 22:53,FALSE,Washington Cycling,2.15,112,0:17:20,95,127,0.5,--,--,7.5,16.2,69,39,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,25-07-19 15:52,FALSE,Washington Cycling,2.05,99,0:11:47,104,133,0.8,--,--,10.4,22.5,49,82,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,25-07-19 14:34,FALSE,Washington Cycling,0.76,74,0:13:38,88,116,0.3,--,--,3.3,12.4,66,20,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,25-07-19 13:59,FALSE,Washington Cycling,0.19,76,0:12:39,91,131,0.4,--,--,0.9,8.3,10,39,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,24-07-19 23:47,FALSE,Washington Cycling,0.99,51,05:20.6,110,124,0.5,--,--,11.1,18.8,30,56,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,24-07-19 18:24,FALSE,Washington Cycling,0.94,68,06:26.4,115,131,0.7,--,--,8.7,26.4,59,13,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,23-07-19 23:13,FALSE,Washington Cycling,2.23,105,0:16:05,96,121,0.4,--,--,8.3,17.1,66,43,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
